Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),Molar Volume (25C),A,B,C,Vapor Presure mmHg (25C),Surface Area [Jmol] (A^2/molecule),Volume [Jmol] (A^3/molecule),q [Jmol],r [Jmol],Classification,"-OH, N, X groups take precedence over aromatic/aliphatic constituents"
36,m-xylene,108-38-3,1435,"1,3-dimethylbenzene",C8H10,CC1=CC(=CC=C1)C,123.307,7.18115,1573.02431,226.671,8.527560211,141.4250328981750,109.5265405113440,3.407011151,4.347951509,7,
37,heptane,142-82-5,1366,,C7H16,CCCCCCC,146.927,7.04605,1341.88869,223.733,44.78880238,161.9480518242490,117.2329717008430,3.901422593,4.653879085,6,
38,hexadecane,544-76-3,2079,,C16H34,CCCCCCCCCCCCCCCC,294.086,7.36235,2094.07623,180.407,0.001470915941,330.2209653133520,256.0698705952510,7.955214775,10.16538434,6,
39,hexane,110-54-3,1144,,C6H14,CCCCCC,131.368,6.98950,1216.91535,227.451,147.6044021,141.5162820693400,102.0398205627710,3.409209397,4.050745963,6,
40,nitroethane,79-24-3,308,,C2H5NO2,CC[N+](=O)[O-],71.973,7.52569,1645.14823,240.115,20.90681261,94.2386769016632,64.3947515083879,2.27026444,2.556323387,8,
41,nitromethane,75-52-5,189,,CH3NO2,C[N+](=O)[O-],54.066,7.53850,1588.82733,239.919,34.76175969,74.5942177702708,49.0634256533461,1.797018014,1.947705046,8,
42,nonane,111-84-2,1708,,C9H20,CCCCCCCCC,179.382,7.18840,1607.73594,222.414,4.90042327,197.8560110235860,148.4135119891030,4.766466177,5.891674752,6,
43,octane,111-65-9,1560,,C8H18,CCCCCCCC,163.42,7.14462,1498.95885,225.874,14.7800079,175.7356109783430,133.2905597868950,4.233572898,5.291328365,6,
44,o-xylene,95-47-6,1434,"1,2-dimethylbenzene",C8H10,CC1=CC=CC=C1C,121.196,7.14914,1566.58814,222.596,6.636700044,139.9095009338060,109.4260359731220,3.370501107,4.34396171,7,
45,perfluorobenzene,392-56-3,934,hexafluorobenzene,C6F6,C1(=C(C(=C(C(=C1F)F)F)F)F)F,115.851,6.96526,1131.44952,196.754,72.94450676,142.2622024547510,110.9800902813440,3.427179052,4.405654088,8,
46,propanal,123-38-6,438,propionaldehyde,C3H6O,CCC=O,72.965,7.30641,1285.88313,242.556,316.5004104,87.9622131070134,60.1008807482212,2.119060783,2.385866603,3,
47,p-xylene,106-42-3,1436,"1,4-dimethylbenzene",C8H10,CC1=CC=C(C=C1)C,123.738,7.15471,1553.94607,225.230,8.803130344,141.1626971679290,109.5553124783750,3.400691331,4.34909369,7,
48,pyridine,110-86-1,758,azine,C5H5N,C1=CC=NC=C1,80.798,7.18740,1463.62744,224.598,21.06009221,98.2807580589484,75.0215293561365,2.367640522,2.978182003,8,
49,s⁢e⁢c-butanol,78-92-2,693,"2-butanol, sec. butyl alcohol",C4H10O,CCC(C)O,92.08,7.47492,1314.19000,186.510,18.26203613,112.3075679586810,79.6213260006491,2.705554516,3.16078334,2,
50,t-butanol*,75-65-0,697,"2-methyl-2-propanol, tert butyl alcohol",C4H10O,CC(C)(C)O,94.637,7.13278,1068.73676,168.931,41.86712887,110.5989559488360,79.5144821238033,2.664393061,3.156541884,2,
51,tetrahydrofuran,109-99-9,630,"1,4-epoxybutane, tetramethylene epoxide",C4H8O,C1CCOC1,81.94,7.10537,1256.68230,232.621,168.7874279,96.9420514980683,71.1272631916217,2.335390303,2.823588601,3,
52,toluene,108-88-3,1263,methyl benzene,C7H8,CC1=CC=CC=C1,106.5,7.13620,1457.28712,231.827,28.97390148,122.0931725557140,94.2603688761810,2.941295412,3.74191964,7,
53,trichloromethane,67-66-3,163,chloroform,CHCl3,C(Cl)(Cl)Cl,80.66,7.11148,1232.78766,230.213,191.0112254,96.5105911618596,69.5004571586629,2.324996173,2.759008147,8,
54,triethylamine,121-44-8,1195, ,C6H15N,CCN(CC)CC,139.8,6.51903,922.08289,164.674,45.45806037,151.1707450935560,113.4663480705730,3.641791016,4.504352799,8,
55,water,7732-18-5,118,,H2O,O,17.8,8.05573,1723.64251,233.076,23.81897472,33.7711532501571,17.5215787701599,0.8135666888,0.6955663394,1,
56,"1,4-dioxane ",123-91-1,640,glycol ethylene ether,C4H8O2,C1COCCO1,85.62,7.29909,1485.84640,234.976,38.34947985,105.2180339159830,79.0568044252092,2.534763525,3.138373133,3,
57,butanonitrile ,109-74-0,604,"butyronitrile, butanoic acid nitrile, propyl cyanide",C4H7N,CCCC#N,87.92,7.36921,1593.17000,237.353,19.79658529,105.0273315544570,73.9723122961465,2.530169394,2.936530501,8,
58,ethyl ethanoate,141-78-6,636,"ethyl acetate, acetic acid ethyl ester",C4H8O2,CCOC(=O)C,98.55,7.25963,1338.46000,228.608,95.93064652,116.3533361365390,83.5995831579881,2.80301942,3.31871099,3,
59,1-chloropentane,543-59-9,879,"n-amyl chloride, pentyl chloride",C5H11Cl,CCCCCCl,121.406,7.21236,1494.95000,236.740,31.67932981,139.3565823699340,101.4742069638250,3.357180977,4.028292405,8,
60,1-hexyne,693-02-7,1023,,C6H10,CCCCC#C,115.373,7.21967,1336.56000,236.713,129.6288534,129.7436810269510,93.9044658846081,3.125600603,3.727791111,6,
61,"1,1,1-trichloroethane",71-55-6,262,,C2H3Cl3,CC(Cl)(Cl)Cl,100.303,7.00718,1253.20000,229.624,121.7343111,114.5828511094770,85.0069058436626,2.760367408,3.374578461,8,
62,3-pentanone ,96-22-0,844,diethyl ketone,C5H10O,CCC(=O)CC,106.338,7.26062,1460.76000,231.531,36.84151132,124.9001420375790,90.5319619218883,3.008916937,3.593910468,3,
63,butylamine,109-73-9,722,,C4H11N,CCCCN,98.702,7.21033,1316.41000,226.655,95.3496912,116.9420271627470,82.1971198509691,2.817201329,3.263036426,8,
64,butyraldehyde,123-72-8,623,butanal,C4H8O,CCCC=O,90.473,7.21736,1317.94000,229.115,107.3910311,106.5368989291200,75.4418088541115,2.566535749,2.994866131,3,
65,carbon disulfide,75-15-0,157,,CS2,C(=S)=S,60.623,7.2179,1303.79000,254.394,355.9651815,76.0140956712421,53.3415858676889,1.831223697,2.117538157,8,
66,cyclohexanone,108-94-1,1028,pimelic ketone,C6H10O,C1CCC(=O)CC1,104.188,7.60652,1884.55000,243.036,3.763236151,125.2972998934350,96.3285499894655,3.0184847,3.824021669,3,
67,cyclopentanone,120-92-3,788,adipic ketone,C5H8O,C1CCC(=O)C1,89.014,7.56585,1727.86000,238.153,9.996773967,108.7864032321010,81.4081214582641,2.620727613,3.231715006,3,
68,ethylbenzene,100-41-4,1437,,C8H10,CCC1=CC=CC=C1,122.737,7.1561,1559.55000,228.582,10.13954273,141.1567189754260,109.5127865510870,3.400547313,4.347405508,7,
69,methyl iodide,74-88-4,187,iodomethane,CH3I,CI,62.666,7.33367,1316.43000,253.207,399.7915711,73.3456044535222,50.7770997084521,1.766938194,2.015733961,8,
70,pentane,109-66-0,894, ,C5H12,CCCCC,116.187,7.00877,1134.15000,238.678,509.9188046,121.7131529605140,86.6846030521974,2.932140519,3.441179178,6,
71,tribromomethane ,75-25-2,160,bromoform,CHBr3,C(Br)(Br)Br,87.876,7.0259,1508.83000,214.805,5.419960999,96.8954116259829,69.8012654239519,2.334266722,2.770949542,8,
72,1-Hexene,592-41-6,1076,,C6H12,CCCCC=C,126.179,7.07214,1270.42000,239.628,186.7940594,135.2364674021090,97.7945536291475,3.257925016,3.882218639,6,
73,1-nitropropane,108-03-2,475,,C3H7NO2,CCC[N+](=O)[O-],89.452,7.52378,1717.69000,238.777,10.27727319,115.2303531520390,80.8189862581152,2.775966108,3.208327695,8,
74,1-Pentene,109-67-1,824,alpha-n-amylene,C5H10,CCCC=C,110.448,7.02741,1132.42000,243.136,636.9500973,115.8628191149140,82.4481570901016,2.79120258,3.273002026,6,
75,2-nitropropane,79-46-9,476,,C3H7NO2,CC(C)[N+](=O)[O-],90.635,7.49159,1671.27000,242.220,17.27050915,110.7889470972640,80.9855834227200,2.668970058,3.214941219,8,
76,aniline,62-53-3,997,aminobenzene,C6H7N,C1=CC=C(C=C1)N,91.482,7.29816,1668.15000,193.636,0.4659670531,116.0547573104290,89.1503103328407,2.795826483,3.53906208,8,
