Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),Molar Volume (25C),A,B,C,Vapor Presure mmHg (25C),Surface Area [Jmol] (A^2/molecule),Volume [Jmol] (A^3/molecule),q [Jmol],r [Jmol],Classification,"-OH, N, X groups take precedence over aromatic/aliphatic constituents"
136,formic acid,64-18-6,178,methanoic,CH2O2,C(=O)O,37.912,6.97459,1165.08000,184.037,25.17858107,58.6822224984711,37.2168009559888,1.41368881,1.477421318,Carboxylic Acid,
137,hexadecyliodide,544-77-4,---,,C16H33I,CCCCCCCCCCCCCCCCI,314.227,9.01052,4044.82000,302.872,0.000471995036,345.0113029244550,281.6860883308070,8.311522595,11.18228922,8,
138,hexanoic acid,142-62-1,1116,,C6H12O2,CCCCCC(=O)O,126.124,7.47273,1747.23000,174.802,0.05344691479,154.9034475993230,113.6052557002500,3.731713987,4.509867112,Carboxylic Acid,
139,iodobenzene,591-50-4,979,phenyl iodide,C6H5I,C1=CC=C(C=C1)I,111.97,7.1286,1736.98000,220.463,1.127868728,130.7093266869550,103.9572858427900,3.148863568,4.12686492,8,
140,iodoethane,75-03-6,303,ethyl iodide,C2H5I,CCI,81.232,7.19829,1337.27000,237.434,126.6621644,92.5082883923912,66.1261083937982,2.228578376,2.625054269,8,
141,m-cresol,108-39-4,1266,"1-hydroxy-4-methylbenzene, 3-methylphenol",C7H8O,CC1=CC(=CC=C1)O,104.99,6.87492,1303.18000,124.000,0.01345071911,131.9544307892020,102.1506068796620,3.178858848,4.055143924,2,
142,mesitylene,108-67-8,1644,"1,3,5-trimethylbenzene",C9H12,CC1=CC(=CC(=C1)C)C,139.598,7.26105,1695.83000,222.415,2.55186474,108.6737699002650,124.6351880278190,2.618014211,4.947730032,7,
143,o-chlorotoluene,95-49-8,1250,"1-chloro-2-methylbenzene, 2-chlorotoluene",C7H7Cl,CC1=CC=CC=C1Cl,117.535,7.18144,1645.90000,223.563,3.628930834,137.7151817147580,108.6737699002650,3.317638683,4.314098479,8,
144,o-cresol,95-48-7,1265,"1-hydroxy-2-methylbenzene, 2-methylphenol",C7H8O,CC1=CC=CC=C1O,105.48,7.26017,1620.79000,179.098,0.2084183181,129.9456063389510,102.0763584896040,3.130465101,4.052196434,2,
145,o-dichlorobenzene,95-50-1,961,"1,2-dichlorobenzene",C6H4Cl2,C1=CC=C(C(=C1)Cl)Cl,112.992,6.97294,1596.20000,209.647,1.480407453,135.6905290475470,107.9504883507370,3.268863624,4.285385866,8,
146,o-nitrotoluene,88-72-2,1260,"1-methyl-2-nitrobenzene, 2-nitrotoluene",C7H7NO2,CC1=CC=CC=C1[N+](=O)[O-],118.427,7.00843,1502.39000,141.495,0.009655964416,149.8386956148490,118.2252623167100,3.609701171,4.693270739,8,
147,pentanal,110-62-3,842,valeraldehyde,C5H10O,CCCCC=O,106.999,7.27832,1453.59000,227.549,33.31538709,125.9605659746030,90.7505899961567,3.034463165,3.602589499,3,
148,pentanoic acid,109-52-4,859,valeric acid,C5H10O2,CCCCC(=O)O,109.35,7.61354,1828.33000,200.516,0.3207906284,135.7580066857460,98.4267245611081,3.2704892,3.907314369,Carboxylic Acid,
149,pentyl ethanoate,628-63-7,1344,acetic acid pentyl ester,C7H14O2,CCCCCOC(=O)C,149.297,7.50177,1830.66000,248.165,6.311116113,175.8396330484190,130.1961170828730,4.23607885,5.168486114,3,
150,pentylamine,110-58-7,926,1-aminopentane,C5H13N,CCCCCN,116.066,7.34146,1488.24000,229.138,30.57940457,136.2324364843610,97.5618941308801,3.281918489,3.872982592,8,
151,propanoic acid,79-09-4,447,,C3H6O2,CCC(=O)O,74.979,7.22919,1333.79000,227.283,87.56081396,97.4460546796836,67.7037251479778,2.347532033,2.687682022,Carboxylic Acid,
152,propanonitrile,107-12-0,418,"ethyl cyanide, propanoic acid nitrile",C3H5N,CCC#N,70.888,7.0414,1270.42000,207.996,38.8025299,85.1258462862525,58.5190651086522,2.05073106,2.323072164,8,
153,propyl ethanoate,109-60-4,850,"propyl acetate, acetic acid propyl ester",C5H10O2,CCCOC(=O)C,115.666,7.22305,1408.02000,222.760,34.67770301,136.8660698357570,99.2799601754650,3.297183084,3.941185859,3,
154,t-butylbenzene,98-06-6,1765,"1,1-dimethylethylbenzene",C10H14,CC(C)(C)C1=CC=CC=C1,155.529,6.88707,1509.57000,207.654,2.503764918,174.4634810550570,140.0668676954050,4.202926549,5.560332189,7,
155,sulfolane,126-33-0,651,tetramethylene sulfone,C4H8O2S,C1CCS(=O)(=O)C1,95.017,7.39368,2207.21000,201.794,0.004586232245,124.2588257039430,94.8347714927228,2.993467254,3.764722102,8,
156,tetralin,119-64-2,1753,"1,2,3,4-tetrahydronaphthalene",C10H12,C1CCC2=CC=CC=C2C1,136.717,7.16735,1806.14000,213.732,0.3997563024,159.1527736548940,130.5139484114200,3.834082719,5.181103286,7,
157,thiophenol,108-98-5,996,benzenethiol,C6H6S,C1=CC=C(C=C1)S,102.684,7.06085,1549.90000,201.647,1.669023884,124.1746116842050,97.0034671457018,2.991438489,3.850814327,8,
158,trichloroethene,79-01-6,255,trichloroethylene,C2HCl3,C(=C(Cl)Cl)Cl,90.115,6.87981,1157.83000,202.580,61.97783472,108.8794344793510,79.8945623949233,2.62296879,3.171630196,8,
159,undecane,1120-21-4,1932,,C11H24,CCCCCCCCCCC,212.092,7.18058,1706.26000,200.897,0.4239499357,235.5634383635960,179.3533247342660,5.674859994,7.119914089,6,
160,"Z-1,2-dichloroethene",156-59-2,244,"cis-1,2-dichloroethylene",C2H2Cl2,C(=CCl)Cl,76.635,7.21953,1290.28000,236.887,196.1879066,91.9869141977941,65.4876475827683,2.216018169,2.599708845,8,
